Zeilenbeschriftungen;Mittelwert von value
participant_1;2,866666667
participant_10;3,15625
participant_100;1,625
participant_101;1,1875
participant_102;3,625
participant_103;1,34375
participant_104;3,125
participant_105;3,75
participant_106;1,65625
participant_107;2,25
participant_108;2,78125
participant_109;2,178571429
participant_11;4,71875
participant_110;1,78125
participant_111;2,03125
participant_112;3,375
participant_113;5,0625
participant_114;2,1875
participant_115;1,75
participant_116;3,75
participant_117;2,25
participant_118;3,28125
participant_119;4,0625
participant_12;3,875
participant_120;1,53125
participant_121;3,516129032
participant_122;2,625
participant_123;3,84375
participant_124;2,78125
participant_125;3,3125
participant_126;3,65625
participant_127;4,733333333
participant_128;1,53125
participant_129;3,21875
participant_13;2,35483871
participant_130;2,28125
participant_131;4,1875
participant_132;1,9375
participant_133;4,15625
participant_134;4,15625
participant_135;2,0625
participant_136;1,8125
participant_137;1,9375
participant_138;2,34375
participant_139;1,71875
participant_14;3,3125
participant_140;4,25
participant_142;4,125
participant_143;2,1875
participant_144;4,3125
participant_145;4,15625
participant_146;3,4375
participant_147;4,84375
participant_148;1,875
participant_149;2,71875
participant_15;4,59375
participant_150;4,875
participant_151;4,3125
participant_152;3,5625
participant_153;2,65625
participant_154;2,8125
participant_155;3,21875
participant_156;2,03125
participant_157;2
participant_158;1,90625
participant_159;2
participant_16;2,78125
participant_160;2,9375
participant_161;2,125
participant_162;2,78125
participant_163;3,03125
participant_164;4,34375
participant_165;4,03125
participant_166;2,78125
participant_167;3,8125
participant_168;4,03125
participant_169;3,59375
participant_17;2,9375
participant_170;1,90625
participant_171;3,0625
participant_172;4
participant_173;3,5
participant_18;3,3125
participant_19;2,78125
participant_2;2,633333333
participant_20;3,59375
participant_21;3,8125
participant_22;2,71875
participant_23;3,09375
participant_24;3,4375
participant_25;1,75
participant_26;2,90625
participant_27;3,96875
participant_28;2,78125
participant_29;2,0625
participant_3;3,733333333
participant_30;3,0625
participant_31;3,5
participant_32;1,75
participant_33;3,46875
participant_34;3,1875
participant_35;4,03125
participant_36;3,53125
participant_37;1,90625
participant_38;4,65625
participant_39;3,8125
participant_4;3,65625
participant_40;4,03125
participant_41;2,9375
participant_42;2,84375
participant_43;3,46875
participant_44;3,40625
participant_45;4,59375
participant_46;2,90625
participant_47;1,8125
participant_48;4,53125
participant_49;3,3125
participant_5;4,0625
participant_50;3,0625
participant_51;1,96875
participant_52;4,28125
participant_53;2,71875
participant_54;2,8125
participant_55;3,4375
participant_56;4,90625
participant_57;3,59375
participant_58;4,133333333
participant_59;2,59375
participant_6;3,03125
participant_60;2,71875
participant_61;4,451612903
participant_62;3,875
participant_63;4,28125
participant_64;3,25
participant_65;2,5625
participant_66;2,875
participant_67;4
participant_68;3,5
participant_69;2,59375
participant_7;3,903225806
participant_70;2,71875
participant_71;2,6875
participant_72;2,6875
participant_73;4
participant_74;3,3125
participant_75;4,59375
participant_76;2,75
participant_77;5,40625
participant_78;2,28125
participant_79;2,25
participant_8;2,875
participant_80;2,9375
participant_81;3,3125
participant_82;2,6875
participant_83;2,09375
participant_84;3,96875
participant_85;4
participant_86;4
participant_87;3,59375
participant_88;2,09375
participant_89;2,46875
participant_9;4,09375
participant_90;3
participant_91;3,25
participant_92;3,34375
participant_93;1,935483871
participant_94;2,90625
participant_95;2,5625
participant_96;2,53125
participant_97;3,09375
participant_98;1,71875
participant_99;2,96875
(Leer);
Gesamtergebnis;3,127097009