condition,question,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11,participant_12,participant_13,participant_14,participant_15,participant_16,participant_17,participant_18,participant_19,participant_20,participant_21,participant_22,participant_23,participant_24,participant_25,participant_26,participant_27,participant_28,participant_29,participant_30,participant_31,participant_32,participant_33,participant_34,participant_35,participant_36,participant_37,participant_38,participant_39,participant_40,participant_41,participant_42,participant_43,participant_44,participant_45,participant_46,participant_47,participant_48,participant_49,participant_50,participant_51,participant_52,participant_53,participant_54,participant_55,participant_56,participant_57,participant_58,participant_59,participant_60,participant_61,participant_62,participant_63,participant_64,participant_65,participant_66,participant_67,participant_68,participant_69,participant_70,participant_71,participant_72,participant_73,participant_74,participant_75,participant_76,participant_77,participant_78,participant_79,participant_80,participant_81,participant_82,participant_83,participant_84,participant_85,participant_86,participant_87,participant_88,participant_89,participant_90,participant_91,participant_92,participant_93,participant_94,participant_95,participant_96,participant_97,participant_98,participant_99,participant_100,participant_101,participant_102,participant_103,participant_104,participant_105,participant_106,participant_107,participant_108,participant_109,participant_110,participant_111,participant_112,participant_113,participant_114,participant_115,participant_116,participant_117,participant_118,participant_119,participant_120,participant_121,participant_122,participant_123,participant_124,participant_125,participant_126,participant_127,participant_128,participant_129,participant_130,participant_131,participant_132,participant_133,participant_134,participant_135,participant_136,participant_137,participant_138,participant_139,participant_140,participant_141,participant_142,participant_143,participant_144,participant_145,participant_146,participant_147,participant_148,participant_149,participant_150,participant_151,participant_152,participant_153,participant_154,participant_155,participant_156,participant_157,participant_158,participant_159,participant_160,participant_161,participant_162,participant_163,participant_164,participant_165,participant_166,participant_167,participant_168,participant_169,participant_170,participant_171,participant_172,participant_173
H 4.3,Die Tat wurde mit Trunken- und Verlogenheit begangen.,,,,,,,,,,,,,,,,3,4,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,2,,,4,,6,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,1,,,,,,2,4,,,,,,,
H 4.3,Die Tat wurde mit Trunken- und Verlogenheit begangen.,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,1,5,,,,2,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,4,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,5,,,,
H 4.4,Die Gesamt- und Allgemeinheit der Regeln spricht dafür.,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7
H 4.5,"Er glaubt, dass die Staatsanwälte zu viel Befangen- und Verschwiegenheit an den Tag legen.",,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
H 4.6,Eigenschaften wie Lüstern- und Verderbtheit sind absolut unpassend.,,,,2,,5,,,,,7,,3,,,,,,,,6,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,4,,,,,,,,,,,,,,3,7,6,,5,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,4,,3,,,,,,,,,,7,,,,,,,,,,,,6,3,,,,,
H 4.7,Der Richter vermittelt mit Besonnen- und Rechtschaffenheit.,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,7,,,,,,,,,,,6,,,,,,,,,1,,3,,,,,,,,,2,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,
H 4.8,Eine Ausbildung in Frankreich steht für Gewandt- und Kultiviertheit.,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,1,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,6,,,,,,,,,,,
H 4'.1,Sie strahlen Erhaben- und Vergangenheit aus.,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4'.1,Sie strahlen Erhaben- und Vergangenheit aus.,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,5,,,,,,,,,,,
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,,,2,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,3,1,,,,,,,,,,,6,,,,,,1,,,
H 4'.3,Die Tat wurde mit Verlogen- und Trunkenheit begangen.,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4'.3,Die Tat wurde mit Verlogen- und Trunkenheit begangen.,,,,,1,,,,3,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,3,,,,2,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
H 4'.4,Die Allgemein- und Gesamtheit der Regeln spricht dafür.,,,,,,,,,,,,,,,,3,5,,,,,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,7,,,4,,6,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,1,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,1,,,,,,3,3,,,,,,,
H 4'.4,Die Allgemein- und Gesamtheit der Regeln spricht dafür.,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,4,6,,,,2,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,7,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,2,,,,
H 4'.5,"Er glaubt, dass die Staatsanwälte zu viel Verschwiegen- und Befangenheit an den Tag legen.",,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4
H 4'.6,Eigenschaften wie Verderbt- und Lüsternheit sind absolut unpassend.,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
H 4'.7,Der Richter vermittelt mit Rechtschaffen- und Besonnenheit.,,,,3,,6,,,,,7,,2,,,,,,,,5,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,4,,,,,,,,,,,,,,5,6,6,,5,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,4,,5,,,,,,,,,,6,,,,,,,,,,,,7,1,,,,,
H 4'.8,Eine Ausbildung in Frankreich steht für Kultiviert- und Gewandtheit.,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,7,,,,,,,,,,,6,,,,,,,,,1,,5,,,,,,,,,3,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,
K 2.1,Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Sauber- und Gemütlichkeit.,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
K 2.1,Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Sauber- und Gemütlichkeit.,,,3,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,
K 2.2,Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,,,,6,,3,,,,,5,,3,,,,,,,,4,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,,,,,2,,,,,,,,,,,,,,6,5,6,,1,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,2,6,,,,,
K 2.2,Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
K 2.3,Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,2,,,,,,,,,,,4,,,,,,,,,1,,5,,,,,,,,,1,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,
K 2.3,Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.,,,,,,,,,,,,,,,,2,2,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,6,,,,,5,,,4,,6,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,6,,,,,,,,1,,,,,,6,1,,,,,,,
K 2.4,Sie legt viel wert auf Höflich- und Pünktlichkeit.,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,6
K 2.4,Sie legt viel wert auf Höflich- und Pünktlichkeit.,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,6,,,,,,,,1,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,6,,,,,,,,,,,
K 2.5,Die Richtig- und Wichtigkeit der Erkenntnisse kann nicht oft genug betont werden.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,6,3,,,,,,,,,,,3,,,,,,4,,,
K 2.6,Er ist immer wieder in finanzielle Schwierig- und Abhängigkeiten geraten.,,,,,7,,,,7,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,4,,,,,,,,,5,,,,,,,,,,,,4,,,,1,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,4,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
K 2.7,Die Zeit danach war von Einsam- und Traurigkeit geprägt.,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,6,5,,,,6,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,7,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,2,,,,
K 2.8,Die Ehrlich- und Freundlichkeit ihrer Worte war rührend.,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 2'.1,Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Gemütlich- und Sauberkeit.,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3
K 2'.1,Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Gemütlich- und Sauberkeit.,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,7,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 2'.2,Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
K 2'.2,Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,,,5,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,
K 2'.3,Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,,,,6,,3,,,,,5,,2,,,,,,,,5,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,3,,,,,,,,,,,,,,3,5,5,,1,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,2,,2,,,,,,,,,,6,,,,,,,,,,,,7,1,,,,,
K 2'.3,Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
K 2'.4,Sie legt viel wert auf Pünktlich- und Höflichkeit.,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,2,,,,,,,,,,,5,,,,,,,,,1,,3,,,,,,,,,1,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,7,,,,,,,,,,,,,4,,,,,,,,,,
K 2'.4,Sie legt viel wert auf Pünktlich- und Höflichkeit.,,,,,,,,,,,,,,,,2,4,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,7,,,,,5,,,3,,6,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,1,,,,,,6,5,,,,,,,
K 2'.5,Die Wichtig- und Richtigkeit der Erkenntnisse kann nicht oft genug betont werden.,,,,,,,,,,,,6,,,,,,,,,,,6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,5,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,3,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,3,7,,,,,,,,,,,
K 2'.6,Er ist immer wieder in finanzielle Abhängig- und Schwierigkeiten geraten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,6,2,,,,,,,,,,,7,,,,,,3,,,
K 2'.7,Die Zeit danach war von Traurig- und Einsamkeit geprägt.,,,,,3,,,,7,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,1,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
K 2'.8,Die Freundlich- und Ehrlichkeit ihrer Worte war rührend.,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,7,4,,,,3,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,,,,,,6,,,,
K 5.1,Der Autounfall ist auf Fahrlässig- und Unzurechnungsfähigkeit zurückzuführen.,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5,,,,2,,,,,,,,,,,2,,,,,,,,,1,,6,,,,,,,,,2,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,
K 5.1,Der Autounfall ist auf Fahrlässig- und Unzurechnungsfähigkeit zurückzuführen.,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,4,2,,,,4,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,2,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,3,,,,
K 5.2,Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,5,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 5.2,Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,7,,5,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,,,,1,,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,3,7,,,,,,,,,,,
K 5.3,Die Erkenntnis über seine Eitel- und Gleichgültigkeit kam aber zu spät.,,,6,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,
K 5.3,Die Erkenntnis über seine Eitel- und Gleichgültigkeit kam aber zu spät.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,7,2,,,,,,,,,,,6,,,,,,1,,,
K 5.4,Das ist seine Art von Öffentlich- und Wohltätigkeit.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
K 5.4,Das ist seine Art von Öffentlich- und Wohltätigkeit.,,,,,5,,,,4,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,2,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
K 5.5,Das Weihnachtsfest umgibt eine Atmosphäre von Heilig- und Seligkeit.,,,,,,,,,,,,,,,,4,4,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,6,,,,7,,,,,5,,,5,,7,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,1,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,5,,,,,,3,2,,,,,,,
K 5.6,Die Ordensleute erzählen immer von Momenten der Glückselig- und Barmherzigkeit.,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5
