condition,question,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11,participant_12,participant_13,participant_14,participant_15,participant_16,participant_17,participant_18,participant_19,participant_20,participant_21,participant_22,participant_23,participant_24,participant_25,participant_26,participant_27,participant_28,participant_29,participant_30,participant_31,participant_32,participant_33,participant_34,participant_35,participant_36,participant_37,participant_38,participant_39,participant_40,participant_41,participant_42,participant_43,participant_44,participant_45,participant_46,participant_47,participant_48,participant_49,participant_50,participant_51,participant_52,participant_53,participant_54,participant_55,participant_56,participant_57,participant_58,participant_59,participant_60,participant_61,participant_62,participant_63,participant_64,participant_65,participant_66,participant_67,participant_68,participant_69,participant_70,participant_71,participant_72,participant_73,participant_74,participant_75,participant_76,participant_77,participant_78,participant_79,participant_80,participant_81,participant_82,participant_83,participant_84,participant_85,participant_86,participant_87,participant_88,participant_89,participant_90,participant_91,participant_92,participant_93,participant_94,participant_95,participant_96,participant_97,participant_98,participant_99,participant_100,participant_101,participant_102,participant_103,participant_104,participant_105,participant_106,participant_107,participant_108,participant_109,participant_110,participant_111,participant_112,participant_113,participant_114,participant_115,participant_116,participant_117,participant_118,participant_119,participant_120,participant_121,participant_122,participant_123,participant_124,participant_125,participant_126,participant_127,participant_128,participant_129,participant_130,participant_131,participant_132,participant_133,participant_134,participant_135,participant_136,participant_137,participant_138,participant_139,participant_140,participant_141,participant_142,participant_143,participant_144,participant_145,participant_146,participant_147,participant_148,participant_149,participant_150,participant_151,participant_152,participant_153,participant_154,participant_155,participant_156,participant_157,participant_158,participant_159,participant_160,participant_161,participant_162,participant_163,participant_164,participant_165,participant_166,participant_167,participant_168,participant_169,participant_170,participant_171,participant_172,participant_173
Mix 3.1,Er hat höf- und freundlich abgesagt.,,,,,,,,,,,,,,,,2,3,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,7,,,5,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,6,,,,,,,,1,,,,,,4,1,,,,,,,
Mix 3.1,Er hat höf- und freundlich abgesagt.,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,3,3,,,,2,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,2,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,2,,,,
Mix 3.2,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1
Mix 3.2,Die Bezahlung vieler Berufe ist kümmer- und leidlich.,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3.3,Bischöfe bestimmten die gött- und weltliche Ordnung.,,,,,,,,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3.3,Bischöfe bestimmten die gött- und weltliche Ordnung.,,,4,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,
Mix 3.4,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,,,,3,,1,,,,,4,,2,,,,,,,,5,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,7,,,,,,,,2,,,,,,,,,,,,,,6,7,2,,3,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,3,,4,,,,,,,,,,1,,,,,,,,,,,,3,3,,,,,
Mix 3.4,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3.5,Im Kindergarten wird alles brüder- und schwesterlich geteilt.,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,6,,,,,,,,,,,7,,,,,,,,,1,,5,,,,,,,,,7,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,7,,,,,,,,,,,,,6,,,,,,,,,,
Mix 3.6,Sie treffen sich täg- und heimlich.,,,,,,,,,,,,7,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,
Mix 3.7,Die Durchsuchung Mitten in der Nacht war gründ- und amtlich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,1,,,
Mix 3.8,Für die Gesundheit ist Ruhe wichtig vor allem nächt- und abendlich.,,,,,2,,,,4,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Mix 3'.1,Er hat freund- und höflich abgesagt.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3'.1,Er hat freund- und höflich abgesagt.,,,,,3,,,,2,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Mix 3'.2,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,,,,,,,,,,,,,,,,5,2,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,3,,,,,5,,,2,,2,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,1,,,,,,5,1,,,,,,,
Mix 3'.2,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,3,2,,,,3,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,5,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,3,,,,
Mix 3'.3,Bischöfe bestimmten die welt- und göttliche Ordnung.,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5
Mix 3'.3,Bischöfe bestimmten die welt- und göttliche Ordnung.,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3'.4,Oft ist mit dem mensch- und männlichen Körper ein und das Selbe gemeint.,,,,,,,,,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 3'.4,Oft ist mit dem mensch- und männlichen Körper ein und das Selbe gemeint.,,,4,,,,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,
Mix 3'.5,Im Kindergarten wird alles schwester- und brüderlich geteilt.,,,,6,,6,,,,,7,,6,,,,,,,,4,4,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,,1,,,,,,,,,,,,,,6,6,6,,3,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,4,,5,,,,,,,,,,6,,,,,,,,,,,,7,7,,,,,
Mix 3'.6,Sie treffen sich heim- und täglich.,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,3,,,,,,,,,,,3,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,
Mix 3'.7,Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,
Mix 3'.8,Für die Gesundheit ist Ruhe wichtig vor allem abend- und nächtlich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,3,,,,,,,,,,,2,,,,,,1,,,
Mix 6.1,Nachhaltig zu leben ist natür- und verantwortlich.,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6.1,Nachhaltig zu leben ist natür- und verantwortlich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,1,4,,,,,,,,,,,5,,,,,,1,,,
Mix 6.2,Mutproben sind gefähr- und schrecklich.,,,,3,,1,,,,,4,,1,,,,,,,,2,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,1,,,,,,,,,,,,,,2,2,3,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,1,,5,,,,,,,,,,1,,,,,,,,,,,,2,7,,,,,
Mix 6.2,Mutproben sind gefähr- und schrecklich.,,,,,2,,,,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Mix 6.3,Sie hat aber tatsäch- und wirklich mehr verlangt.,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,
Mix 6.3,Sie hat aber tatsäch- und wirklich mehr verlangt.,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,3,1,,,,5,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,
Mix 6.4,Der Auftritt war lächer- und peinlich.,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6.4,Der Auftritt war lächer- und peinlich.,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,
Mix 6.5,Ihre Worte waren ähn- und deutlich.,,,2,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,
Mix 6.6,Die Arbeitsleistung ist gewöhn- und ordentlich.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6.7,Das klingt als wäre er sehr anhäng- und empfindlich.,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,2,,,4,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,1,,,,,,5,6,,,,,,,
Mix 6.8,Der ganze Papierkram für ein Visum ist umständ- und erforderlich.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
Mix 6'.1,Nachhaltig zu leben ist verantwort- und natürlich.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
Mix 6'.1,Nachhaltig zu leben ist verantwort- und natürlich.,,,,,,,,,,,,7,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,1,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,4,,,,,,,,,,,
Mix 6'.2,Mutproben sind schreck- und gefährlich.,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6'.2,Mutproben sind schreck- und gefährlich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,3,,,,,,1,,,
Mix 6'.3,Sie hat aber wirk- und tatsächlich mehr verlangt.,,,,2,,1,,,,,3,,1,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,2,2,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,4,,,,,,,,,,1,,,,,,,,,,,,1,3,,,,,
Mix 6'.3,Sie hat aber wirk- und tatsächlich mehr verlangt.,,,,,2,,,,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Mix 6'.4,Der Auftritt war pein- und lächerlich.,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,1,,5,,,,,,,,,1,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
Mix 6'.4,Der Auftritt war pein- und lächerlich.,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,2,1,,,,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,5,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,2,,,,
Mix 6'.5,Ihre Worte waren deut- und ähnlich.,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6'.6,Die Arbeitsleistung ist ordent- und gewöhnlich.,,,2,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,
Mix 6'.7,Das klingt als wäre er sehr empfind- und anhänglich.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix 6'.8,Der ganze Papierkram für ein Visum ist erforder- und umständlich.,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,4,,,4,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,1,,,,,,6,1,,,,,,,
U 1.1,Die Lieder sind tröst- und fröhlich.,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,2,,,,,,,,,,,2,,,,,,,,,1,,5,,,,,,,,,1,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,7,,,6,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,
U 1.1,Die Lieder sind tröst- und fröhlich.,,,,,,,,,,,,,,,,2,2,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,5,,,3,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,4,,,,,,,,1,,,,,,2,1,,,,,,,
U 1.2,wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
U 1.2,wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,
U 1.3,Der Pfarrer hat sie kürz- und irrtümlich kontaktiert.,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
U 1.3,Der Pfarrer hat sie kürz- und irrtümlich kontaktiert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,3,2,,,,,,,,,,,4,,,,,,1,,,
U 1.4,Sie ist eher so der häus- und ängstliche Typ.,,,,2,,1,,,,,3,,1,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,2,,,,,,,,,,,,,,2,2,3,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,5,2,,,,,
U 1.4,Sie ist eher so der häus- und ängstliche Typ.,,,,,2,,,,7,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,6,,,,,,,,,4,,,,,,,,,,,,1,,,,4,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,5,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
U 1.5,Die beiden behandeln den Welpen mütter- und väterlich.,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,3,4,,,,2,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,7,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,5,,,,
